Hour,Electric Load (kW)
1335,962.66
1336,866.26
1337,866.803
1338,822.15
1339,772.445
1340,762.447
1341,626.984
1342,625.308
1343,594.924
1344,598.672
1345,573.015
1346,576.325
1347,581.123
1348,585.182
1349,617.957
1350,619.419
1351,709.222
1352,694.206
1353,769.347
1354,754.806
1355,761.614
1356,764.904
1357,765.786
1358,755.54
1359,754.483
1360,755.537
1361,731.493
1362,682.437
1363,643.61
1364,636.004
1365,604.276
1366,603.666
1367,570.27
1368,570.484
1369,573.809
1370,573.41
1371,576.435
1372,579.673
1373,714.502
1374,717.102
1375,996.134
1376,1133.859
1377,1171.33
1378,1206.905
1379,1217.436
1380,1221.274
1381,1182.594
1382,1222.029
1383,1228.357
1384,1233.784
1385,1240.662
1386,1239.256
1387,916.674
1388,908.137
1389,740.403
1390,700.623
1391,587.872
1392,588.85
1393,576.503
1394,576.392
1395,576.117
1396,575.806
1397,713.659
1398,714.588
1399,994.246
1400,1136.136
1401,1177.518
1402,1210.811
1403,1219.554
1404,1225.253
1405,1193.737
1406,1235.305
1407,1242.555
1408,1249.136
1409,1255.635
1410,1258.391
1411,939.35
1412,933.379
1413,768.123
1414,728.646
1415,616.11
1416,611.569
1417,588.434
1418,580.686
1419,574.429
1420,572.779
1421,708.1
1422,709.526
1423,990.959
1424,1136.455
1425,1182.309
1426,1219.21
1427,1234.8
1428,1252.972
1429,1233.667
1430,1269.903
1431,1257.659
1432,1244.748
1433,1239.989
1434,1237.243
1435,913.621
1436,907.028
1437,738.42
1438,698.048
1439,585.072
1440,585.712
1441,581.265
1442,593.045
1443,598.883
1444,596.365
1445,726.129
1446,731.389
1447,1013.414
1448,1157.996
1449,1205.935
1450,1244.611
1451,1244.411
1452,1239.266
1453,1195.977
1454,1229.297
1455,1228.046
1456,1233.816
1457,1238.857
1458,1241.614
1459,926.144
1460,912.631
1461,742.625
1462,707.442
1463,598.427
1464,599.176
1465,586.201
1466,594.136
1467,594.324
1468,602.93
1469,748.806
1470,749.398
1471,1020.688
1472,1165.555
1473,1207.047
1474,1256.822
1475,1282.383
1476,1293.922
1477,1240.359
1478,1268.773
1479,1274.126
1480,1282.753
1481,1291.675
1482,1292.246
1483,943.677
1484,934.37
1485,771.908
1486,709.87
1487,598.607
1488,639.682
1489,623.718
1490,634.82
1491,654.702
1492,650.302
1493,679.24
1494,677.403
1495,761.016
1496,877.732
1497,904.608
1498,1043.229
1499,1047.361
1500,1046.094
1501,1015.898
1502,1015.503
1503,1025.977
1504,940.934
1505,913.826
1506,855.902
1507,831.321
1508,827.689
1509,674.315
1510,648.602
1511,646.044
1512,660.092
1513,622.274
1514,613.604
1515,609.461
1516,605.334
1517,634.159
1518,624.004
1519,700.704
1520,698.11
1521,775.939
1522,759.419
1523,765.486
1524,769.059
1525,776.915
1526,766.104
1527,756.485
1528,762.816
1529,752.872
1530,718.033
1531,686.896
1532,684.899
1533,644.131
1534,646
1535,619.094
1536,609.896
1537,612.951
1538,615.249
1539,614.134
1540,613.468
1541,743.289
1542,742.785
1543,1008.145
1544,1150.355
1545,1193.169
1546,1223.239
1547,1217.114
1548,1233.957
1549,1186.199
1550,1209.486
1551,1213.389
1552,1211.659
1553,1219.279
1554,1219.189
1555,914.307
1556,907.064
1557,737.844
1558,698.465
1559,586.411
1560,587.498
1561,578.543
1562,580.595
1563,578.109
1564,576.182
1565,711.068
1566,711.896
1567,986.318
1568,1134.496
1569,1177.77
1570,1213.189
1571,1222.552
1572,1232.405
1573,1192.109
1574,1229.598
1575,1227.127
1576,1223.946
1577,1231.25
1578,1228.863
1579,913.6
1580,905.391
1581,740.707
1582,703.445
1583,589.371
1584,588.076
1585,578.138
1586,581.423
1587,576.768
1588,573.517
1589,709.95
1590,713.752
1591,985.361
1592,1134.984
1593,1178.871
1594,1216.096
1595,1225.967
1596,1228.936
1597,1189.788
1598,1219.586
1599,1219.061
1600,1218.621
1601,1225.648
